date,year,meeting_id,statement_url,minutes_url
2010-09-21,2010,2010-09-21,https://www.federalreserve.gov/newsevents/press/monetary/20100921a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100921.htm
2010-11-03,2010,2010-11-03,https://www.federalreserve.gov/newsevents/press/monetary/20101103a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101103.htm
2010-12-14,2010,2010-12-14,https://www.federalreserve.gov/newsevents/press/monetary/20101214a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101214.htm
2011-01-26,2011,2011-01-26,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110126a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110126.htm
2011-03-15,2011,2011-03-15,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110315a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110315.htm
2011-04-27,2011,2011-04-27,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110427a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110427.htm
2011-06-22,2011,2011-06-22,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110622a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110622.htm
2011-08-09,2011,2011-08-09,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110809a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110809.htm
2011-09-21,2011,2011-09-21,https://www.federalreserve.gov/newsevents/pressreleases/monetary20110921a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110921.htm
2011-11-02,2011,2011-11-02,https://www.federalreserve.gov/newsevents/pressreleases/monetary20111102a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111102.htm
2011-12-13,2011,2011-12-13,https://www.federalreserve.gov/newsevents/pressreleases/monetary20111213a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111213.htm
2012-01-25,2012,2012-01-25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120125a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120125.htm
2012-03-13,2012,2012-03-13,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120313a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120313.htm
2012-04-25,2012,2012-04-25,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120425a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120425.htm
2012-06-20,2012,2012-06-20,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120620a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120620.htm
2012-08-01,2012,2012-08-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120801a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120801.htm
2012-09-13,2012,2012-09-13,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120913a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120913.htm
2012-10-24,2012,2012-10-24,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121024a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121024.htm
2012-12-12,2012,2012-12-12,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121212a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121212.htm
